text,intent
are there any offer ,scholarship
are there any offers plans,scholarship
are there any scholarship,scholarship
are there any scholarship plans,scholarship
can i have the academic calendar,schedule
can i have the address,Details
can i have the contact details,Details
can i have the number,Details
can I know the academic schedule,schedule
can you give me the academic calendar,schedule
can you give me the academic schedule,schedule
can you give me the address,Details
can you give me the contact,Details
can you give me the contact details,Details
can you give me the number,Details
find endowment,scholarship
find offers,scholarship
find scholarship plans,scholarship
find scholarships plans,scholarship
get me the academic schedule,schedule
give me address,Details
give me contact,Details
give me contact details,Details
give me number,Details
help me find offer plans,scholarship
help me find offers ,scholarship
help me find scholarships,scholarship
help me find scholarships plans,scholarship
how do I contact the university,Details
how does the academic calendar look like ,schedule
how to avail scholarship,scholarship
how to avail scholarships,scholarship
how to get scholarship,scholarship
how to sign up for scholarship,scholarship
how to sign up for scholarships,scholarship
i'm looking for endowment,scholarship
i'm looking for endowment plans,scholarship
i'm looking for offer plans,scholarship
i'm looking for offers ,scholarship
i'm looking for scholarship,scholarship
i'm looking for scholarship plans,scholarship
i'm looking for scholarships plans,scholarship
provide the academic calendar,schedule
provide the academic schedule,schedule
provide the address,Details
provide the contact details,Details
provide the number,Details
what are the eligibity for scholarship,scholarship
what are the endowment,scholarship
what are the offers,scholarship
what are the scholarships,scholarship
what are the scholarships plans,scholarship
what is the academic calendar,schedule
what is the address,Details
what is the contact,Details
what is the contact details,Details
what is the eligibity for scholarships,scholarship
what is the number,Details
what is the office hours,Details
when does the office open,Details
when is the office close,Details
when is the office open,Details
when is the office open,Details
when is the university hours,Details
I'm looking for scholarship,scholarship
Tell me about scholarship,scholarship
Suggest some scholarship,scholarship
Can I know about scholarship,scholarship
Can you tell me about scholarship,scholarship
I'm looking for scholarships,scholarship
find scholarships,scholarship
help me find scholarships,scholarship
Available scholarships,scholarship
Details of scholarships,scholarship
Can you tell me about scholarships,scholarship
apply for scholarship,scholarship
What are the steps apply for scholarship,scholarship
I'm looking for how to apply for scholarship,scholarship
